municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Cleveland,small_airport,,30.312700271606445,-95.02690124511719,US
Columbia,small_airport,,35.69729995727539,-86.95690155029297,US
Kerens,closed,,32.120701,-96.179101,US
Fort McKavett,small_airport,,30.860024,-100.201996,US
Hockley,small_airport,,30.057919,-95.812489,US
Grottoes,small_airport,,38.249000549316406,-78.85530090332031,US
Spokane,heliport,,47.68629837036133,-117.197998046875,US
Frederic,closed,,45.662701,-92.450203,US
Yelm,small_airport,,46.92499923706055,-122.5530014038086,US
Van Alstyne,small_airport,,33.445914,-96.57079,US
Aubrey,small_airport,,33.322933,-97.045019,US
Herman,small_airport,,45.83000183105469,-96.16059875488281,US
Willow,small_airport,,61.695964,-149.954903,US
Fort Rucker/Samson,heliport,,31.125200271606445,-85.9791030883789,US
Morrilton,small_airport,,35.194339,-92.802473,US
Phoenix,closed,,33.5667,-112.069,US
Blue Hill,small_airport,,44.448001861572266,-68.5697021484375,US
Taft,closed,,35.138949,-119.451463,US
Richvale,small_airport,,39.49769973754883,-121.77100372314453,US
Kiowa,small_airport,,39.26359939575195,-104.427001953125,US
Salem,closed,,41.4529,-72.249603,US
Avoca,small_airport,,43.06449890136719,-82.72380065917969,US
Key Largo,small_airport,OCA,25.325399398804,-80.274803161621,US
Lee,closed,,30.417999,-83.283796,US
Fort Myers,closed,,26.6054,-81.859497,US
Covington,small_airport,,33.674263,-83.764637,US
Bloomington,seaplane_base,,39.05870056152344,-86.44609832763672,US
Shambaugh,small_airport,,40.647888,-95.02135,US
Malta,closed,,42.274991,-113.301229,US
North Vernon,heliport,,39.01060104370117,-85.64080047607422,US
Boggstown,small_airport,,39.573699951171875,-85.91390228271484,US
Central City,small_airport,,41.1125984192,-98.0516967773,US
Augusta,small_airport,,37.73419952392578,-96.93669891357422,US
Louisville,small_airport,,38.08060073852539,-85.69329833984375,US
Harahan,closed,,29.937099,-90.183701,US
Monroe,heliport,,32.51825,-91.989093,US
Plymouth,heliport,,41.91699981689453,-70.70950317382812,US
Westminster,small_airport,,39.608299255371094,-77.0519027709961,US
Westbrook,heliport,,43.73830032348633,-70.33920288085938,US
Lake,small_airport,,43.864200592041016,-85.0239028930664,US
Hadley,small_airport,,44.05500030517578,-95.90950012207031,US
Warrensburg,small_airport,,38.655553,-93.624458,US
Glasgow,small_airport,,48.42110061645508,-106.52799987792969,US
Washington Township,small_airport,,40.0168,-77.003899,US
Waxhaw,small_airport,,34.83319854736328,-80.7511978149414,US
Washington,seaplane_base,,43.17559814453125,-72.06390380859375,US
North Bergen,heliport,,40.793666,-73.994863,US
Baker,small_airport,,39.102239,-114.053472,US
Monticello,heliport,,42.66640090942383,-74.76499938964844,US
Claysville,closed,,39.9373,-81.683503,US
Snyder,small_airport,,34.633399963378906,-99.03369903564453,US
Milwaukie,small_airport,,45.42179870605469,-122.62000274658203,US
Grassflat,small_airport,,40.998889,-78.125278,US
Isabela,heliport,,18.489403,-67.026333,PR
Phillipsburg,small_airport,,39.77280044555664,-99.36009979248047,US
Danbury,small_airport,,29.240519,-95.344658,US
Corpus Christi,small_airport,,27.721099853515625,-97.51280212402344,US
Vonore,small_airport,,35.568599700927734,-84.24109649658203,US
Georgetown,small_airport,,30.625381,-97.571425,US
Princeton,heliport,,33.183998107910156,-96.447998046875,US
Howell,small_airport,,41.716667,-112.447222,US
Clover,small_airport,,36.81959915161133,-78.78309631347656,US
Jericho,small_airport,,44.447200775146484,-72.91470336914062,US
Spokane,heliport,,47.651637,-117.424477,US
Genessee Depot,closed,,42.965302,-88.391502,US
Sheridan,small_airport,,44.960084,-106.105925,US
Smithville,heliport,,29.906488,-97.214397,US
